data_hora,potencia_kw,energia_kwh,temperatura_inversor,fonte_id
2025-04-30 07:53:34.345025,1.109,0.277,36.9,2
2025-04-30 08:08:34.345025,2.18,0.545,27.7,2
2025-04-30 08:23:34.345025,1.626,0.406,39.6,2
2025-04-30 08:38:34.345025,2.264,0.566,31.3,2
2025-04-30 08:53:34.345025,2.036,0.509,38.4,2
2025-04-30 09:08:34.345025,2.978,0.744,42.9,2
2025-04-30 09:23:34.345025,3.265,0.816,38.3,2
2025-04-30 09:38:34.345025,2.905,0.726,33.4,2
2025-04-30 09:53:34.345025,3.276,0.819,35.4,2
2025-04-30 10:08:34.345025,2.932,0.733,39.7,2
2025-04-30 10:23:34.345025,3.385,0.846,29.8,2
2025-04-30 10:38:34.345025,2.937,0.734,37.8,2
2025-04-30 10:53:34.345025,2.578,0.644,27.5,2
2025-04-30 11:08:34.345025,3.743,0.936,25.3,2
2025-04-30 11:23:34.345025,3.459,0.865,36.9,2
2025-04-30 11:38:34.345025,3.097,0.774,33.2,2
2025-04-30 11:53:34.345025,3.1,0.775,39.9,2
2025-04-30 12:08:34.345025,4.34,1.085,42.6,2
2025-04-30 12:23:34.345025,3.771,0.943,27.4,2
2025-04-30 12:38:34.345025,3.951,0.988,38.1,2
2025-04-30 12:53:34.345025,3.226,0.807,27.4,2
2025-04-30 13:08:34.345025,4.043,1.011,29.2,2
2025-04-30 13:23:34.345025,3.642,0.91,41.9,2
2025-04-30 13:38:34.345025,3.852,0.963,33.0,2
2025-04-30 13:53:34.345025,3.27,0.817,29.4,2
2025-04-30 14:08:34.345025,3.359,0.84,35.5,2
2025-04-30 14:23:34.345025,3.5,0.875,27.1,2
2025-04-30 14:38:34.345025,3.186,0.796,36.7,2
2025-04-30 14:53:34.345025,3.126,0.781,30.9,2
2025-04-30 15:08:34.345025,2.898,0.724,27.3,2
2025-04-30 15:23:34.345025,2.891,0.723,27.6,2
2025-04-30 15:38:34.345025,2.917,0.729,39.3,2
2025-04-30 15:53:34.345025,3.209,0.802,29.4,2
2025-04-30 16:08:34.345025,2.246,0.562,40.2,2
2025-04-30 16:23:34.345025,2.107,0.527,40.9,2
2025-04-30 16:38:34.345025,2.047,0.512,27.0,2
2025-04-30 16:53:34.345025,1.644,0.411,29.1,2
2025-04-30 17:08:34.345025,1.329,0.332,26.3,2
2025-04-30 17:23:34.345025,1.184,0.296,30.8,2
2025-04-30 17:38:34.345025,1.287,0.322,43.6,2
2025-04-30 17:53:34.345025,1.384,0.346,38.8,2
2025-04-30 18:08:34.345025,0.327,0.082,25.1,2
2025-04-30 18:23:34.345025,0.371,0.093,28.2,2
2025-04-30 18:38:34.345025,0.329,0.082,26.1,2
2025-04-30 18:53:34.345025,0.409,0.102,32.3,2
2025-04-30 19:08:34.345025,0.0,0.0,33.0,2
2025-04-30 19:23:34.345025,0.0,0.0,30.8,2
2025-04-30 19:38:34.345025,0.0,0.0,36.0,2
2025-04-30 19:53:34.345025,0.0,0.0,39.3,2
2025-04-30 20:08:34.345025,0.0,0.0,32.5,2
2025-04-30 20:23:34.345025,0.0,0.0,34.3,2
2025-04-30 20:38:34.345025,0.0,0.0,39.5,2
2025-04-30 20:53:34.345025,0.0,0.0,39.2,2
2025-04-30 21:08:34.345025,0.0,0.0,30.1,2
2025-04-30 21:23:34.345025,0.0,0.0,31.7,2
2025-04-30 21:38:34.345025,0.0,0.0,34.6,2
2025-04-30 21:53:34.345025,0.0,0.0,32.8,2
2025-04-30 22:08:34.345025,0.0,0.0,35.3,2
2025-04-30 22:23:34.345025,0.0,0.0,31.0,2
2025-04-30 22:38:34.345025,0.0,0.0,25.0,2
2025-04-30 22:53:34.345025,0.0,0.0,41.9,2
2025-04-30 23:08:34.345025,0.0,0.0,37.0,2
2025-04-30 23:23:34.345025,0.0,0.0,41.8,2
2025-04-30 23:38:34.345025,0.0,0.0,27.3,2
2025-04-30 23:53:34.345025,0.0,0.0,26.8,2
2025-05-01 00:08:34.345025,0.0,0.0,27.3,2
2025-05-01 00:23:34.345025,0.0,0.0,40.6,2
2025-05-01 00:38:34.345025,0.0,0.0,30.7,2
2025-05-01 00:53:34.345025,0.0,0.0,39.3,2
2025-05-01 01:08:34.345025,0.0,0.0,38.2,2
2025-05-01 01:23:34.345025,0.0,0.0,33.5,2
2025-05-01 01:38:34.345025,0.0,0.0,34.5,2
2025-05-01 01:53:34.345025,0.0,0.0,35.9,2
2025-05-01 02:08:34.345025,0.0,0.0,25.9,2
2025-05-01 02:23:34.345025,0.0,0.0,43.9,2
2025-05-01 02:38:34.345025,0.0,0.0,41.3,2
2025-05-01 02:53:34.345025,0.0,0.0,29.0,2
2025-05-01 03:08:34.345025,0.0,0.0,27.4,2
2025-05-01 03:23:34.345025,0.0,0.0,43.5,2
2025-05-01 03:38:34.345025,0.0,0.0,43.2,2
2025-05-01 03:53:34.345025,0.0,0.0,28.8,2
2025-05-01 04:08:34.345025,0.0,0.0,33.1,2
2025-05-01 04:23:34.345025,0.0,0.0,41.5,2
2025-05-01 04:38:34.345025,0.0,0.0,27.1,2
2025-05-01 04:53:34.345025,0.0,0.0,29.2,2
2025-05-01 05:08:34.345025,0.0,0.0,38.0,2
2025-05-01 05:23:34.345025,0.0,0.0,28.2,2
2025-05-01 05:38:34.345025,0.0,0.0,40.5,2
2025-05-01 05:53:34.345025,0.0,0.0,32.8,2
2025-05-01 06:08:34.345025,0.402,0.101,41.7,2
2025-05-01 06:23:34.345025,0.343,0.086,30.9,2
2025-05-01 06:38:34.345025,0.377,0.094,28.3,2
2025-05-01 06:53:34.345025,0.352,0.088,40.9,2
2025-05-01 07:08:34.345025,1.07,0.268,26.3,2
2025-05-01 07:23:34.345025,1.063,0.266,38.3,2
2025-05-01 07:38:34.345025,1.099,0.275,35.2,2
2025-05-01 07:53:34.345025,0.993,0.248,39.5,2
2025-05-01 08:08:34.345025,2.113,0.528,36.2,2
2025-05-01 08:23:34.345025,2.082,0.52,42.9,2
2025-05-01 08:38:34.345025,2.124,0.531,36.8,2
2025-05-01 08:53:34.345025,2.174,0.543,28.1,2
2025-05-01 09:08:34.345025,3.179,0.795,31.2,2
2025-05-01 09:23:34.345025,2.746,0.687,30.0,2
2025-05-01 09:38:34.345025,2.424,0.606,40.6,2
2025-05-01 09:53:34.345025,2.59,0.648,25.5,2
2025-05-01 10:08:34.345025,3.789,0.947,32.3,2
2025-05-01 10:23:34.345025,3.736,0.934,43.2,2
2025-05-01 10:38:34.345025,3.358,0.839,39.4,2
2025-05-01 10:53:34.345025,2.681,0.67,40.1,2
2025-05-01 11:08:34.345025,2.927,0.732,25.5,2
2025-05-01 11:23:34.345025,3.644,0.911,25.8,2
2025-05-01 11:38:34.345025,4.021,1.005,42.4,2
2025-05-01 11:53:34.345025,3.298,0.825,30.8,2
2025-05-01 12:08:34.345025,4.636,1.159,34.8,2
2025-05-01 12:23:34.345025,4.372,1.093,41.0,2
2025-05-01 12:38:34.345025,3.236,0.809,37.1,2
2025-05-01 12:53:34.345025,3.676,0.919,39.7,2
2025-05-01 13:08:34.345025,4.255,1.064,29.8,2
2025-05-01 13:23:34.345025,4.191,1.048,44.8,2
2025-05-01 13:38:34.345025,3.947,0.987,36.1,2
2025-05-01 13:53:34.345025,4.236,1.059,36.6,2
2025-05-01 14:08:34.345025,3.519,0.88,37.6,2
2025-05-01 14:23:34.345025,3.367,0.842,44.8,2
2025-05-01 14:38:34.345025,3.558,0.89,36.2,2
2025-05-01 14:53:34.345025,3.677,0.919,42.8,2
2025-05-01 15:08:34.345025,3.241,0.81,28.1,2
2025-05-01 15:23:34.345025,3.257,0.814,26.1,2
2025-05-01 15:38:34.345025,2.929,0.732,25.7,2
2025-05-01 15:53:34.345025,3.017,0.754,39.5,2
2025-05-01 16:08:34.345025,2.066,0.517,44.0,2
2025-05-01 16:23:34.345025,2.07,0.518,34.5,2
2025-05-01 16:38:34.345025,2.045,0.511,33.9,2
2025-05-01 16:53:34.345025,1.966,0.492,33.0,2
2025-05-01 17:08:34.345025,1.043,0.261,44.9,2
2025-05-01 17:23:34.345025,1.319,0.33,38.0,2
2025-05-01 17:38:34.345025,0.962,0.241,36.8,2
2025-05-01 17:53:34.345025,1.356,0.339,39.0,2
2025-05-01 18:08:34.345025,0.466,0.117,44.6,2
2025-05-01 18:23:34.345025,0.432,0.108,42.3,2
2025-05-01 18:38:34.345025,0.359,0.09,31.0,2
2025-05-01 18:53:34.345025,0.351,0.088,39.3,2
2025-05-01 19:08:34.345025,0.0,0.0,32.5,2
2025-05-01 19:23:34.345025,0.0,0.0,30.7,2
2025-05-01 19:38:34.345025,0.0,0.0,28.5,2
2025-05-01 19:53:34.345025,0.0,0.0,34.3,2
2025-05-01 20:08:34.345025,0.0,0.0,34.6,2
2025-05-01 20:23:34.345025,0.0,0.0,30.6,2
2025-05-01 20:38:34.345025,0.0,0.0,37.1,2
2025-05-01 20:53:34.345025,0.0,0.0,31.0,2
2025-05-01 21:08:34.345025,0.0,0.0,40.1,2
2025-05-01 21:23:34.345025,0.0,0.0,29.1,2
2025-05-01 21:38:34.345025,0.0,0.0,27.0,2
2025-05-01 21:53:34.345025,0.0,0.0,35.7,2
2025-05-01 22:08:34.345025,0.0,0.0,28.7,2
2025-05-01 22:23:34.345025,0.0,0.0,39.4,2
2025-05-01 22:38:34.345025,0.0,0.0,44.0,2
2025-05-01 22:53:34.345025,0.0,0.0,37.6,2
2025-05-01 23:08:34.345025,0.0,0.0,35.9,2
2025-05-01 23:23:34.345025,0.0,0.0,37.8,2
2025-05-01 23:38:34.345025,0.0,0.0,39.2,2
2025-05-01 23:53:34.345025,0.0,0.0,31.1,2
2025-05-02 00:08:34.345025,0.0,0.0,27.0,2
2025-05-02 00:23:34.345025,0.0,0.0,40.5,2
2025-05-02 00:38:34.345025,0.0,0.0,36.4,2
2025-05-02 00:53:34.345025,0.0,0.0,26.4,2
2025-05-02 01:08:34.345025,0.0,0.0,37.3,2
2025-05-02 01:23:34.345025,0.0,0.0,26.6,2
2025-05-02 01:38:34.345025,0.0,0.0,35.8,2
2025-05-02 01:53:34.345025,0.0,0.0,37.1,2
2025-05-02 02:08:34.345025,0.0,0.0,31.1,2
2025-05-02 02:23:34.345025,0.0,0.0,31.9,2
2025-05-02 02:38:34.345025,0.0,0.0,33.6,2
2025-05-02 02:53:34.345025,0.0,0.0,33.8,2
2025-05-02 03:08:34.345025,0.0,0.0,28.1,2
2025-05-02 03:23:34.345025,0.0,0.0,26.6,2
2025-05-02 03:38:34.345025,0.0,0.0,38.6,2
2025-05-02 03:53:34.345025,0.0,0.0,40.4,2
2025-05-02 04:08:34.345025,0.0,0.0,32.2,2
2025-05-02 04:23:34.345025,0.0,0.0,35.8,2
2025-05-02 04:38:34.345025,0.0,0.0,27.4,2
2025-05-02 04:53:34.345025,0.0,0.0,42.6,2
2025-05-02 05:08:34.345025,0.0,0.0,44.6,2
2025-05-02 05:23:34.345025,0.0,0.0,38.8,2
2025-05-02 05:38:34.345025,0.0,0.0,28.9,2
2025-05-02 05:53:34.345025,0.0,0.0,28.0,2
2025-05-02 06:08:34.345025,0.469,0.117,30.5,2
2025-05-02 06:23:34.345025,0.469,0.117,41.5,2
2025-05-02 06:38:34.345025,0.4,0.1,37.5,2
2025-05-02 06:53:34.345025,0.344,0.086,34.4,2
2025-05-02 07:08:34.345025,1.201,0.3,30.2,2
2025-05-02 07:23:34.345025,1.176,0.294,29.7,2
2025-05-02 07:38:34.345025,1.374,0.344,34.9,2
2025-05-02 07:53:34.345025,1.061,0.265,31.5,2
2025-05-02 08:08:34.345025,2.027,0.507,37.7,2
2025-05-02 08:23:34.345025,1.659,0.415,38.8,2
2025-05-02 08:38:34.345025,1.854,0.463,39.4,2
2025-05-02 08:53:34.345025,1.837,0.459,26.5,2
2025-05-02 09:08:34.345025,2.451,0.613,42.7,2
2025-05-02 09:23:34.345025,3.098,0.774,40.0,2
2025-05-02 09:38:34.345025,2.246,0.562,44.8,2
2025-05-02 09:53:34.345025,2.993,0.748,34.0,2
2025-05-02 10:08:34.345025,2.71,0.677,39.5,2
2025-05-02 10:23:34.345025,3.495,0.874,29.7,2
2025-05-02 10:38:34.345025,3.09,0.773,30.3,2
2025-05-02 10:53:34.345025,2.85,0.713,29.1,2
2025-05-02 11:08:34.345025,3.734,0.934,43.8,2
2025-05-02 11:23:34.345025,4.161,1.04,29.4,2
2025-05-02 11:38:34.345025,4.142,1.035,29.4,2
2025-05-02 11:53:34.345025,3.334,0.834,32.1,2
2025-05-02 12:08:34.345025,4.304,1.076,39.6,2
2025-05-02 12:23:34.345025,4.763,1.191,26.6,2
2025-05-02 12:38:34.345025,4.461,1.115,29.8,2
2025-05-02 12:53:34.345025,4.688,1.172,42.0,2
2025-05-02 13:08:34.345025,4.287,1.072,30.8,2
2025-05-02 13:23:34.345025,3.47,0.867,32.2,2
2025-05-02 13:38:34.345025,3.247,0.812,44.4,2
2025-05-02 13:53:34.345025,3.59,0.897,41.2,2
2025-05-02 14:08:34.345025,2.908,0.727,30.0,2
2025-05-02 14:23:34.345025,3.269,0.817,37.4,2
2025-05-02 14:38:34.345025,3.093,0.773,32.2,2
2025-05-02 14:53:34.345025,3.318,0.83,32.2,2
2025-05-02 15:08:34.345025,2.744,0.686,31.1,2
2025-05-02 15:23:34.345025,2.386,0.596,33.8,2
2025-05-02 15:38:34.345025,2.709,0.677,33.7,2
2025-05-02 15:53:34.345025,2.946,0.737,27.4,2
2025-05-02 16:08:34.345025,2.336,0.584,39.8,2
2025-05-02 16:23:34.345025,2.211,0.553,28.3,2
2025-05-02 16:38:34.345025,2.3,0.575,31.2,2
2025-05-02 16:53:34.345025,2.042,0.51,34.1,2
2025-05-02 17:08:34.345025,1.141,0.285,35.5,2
2025-05-02 17:23:34.345025,1.012,0.253,37.7,2
2025-05-02 17:38:34.345025,1.06,0.265,25.7,2
2025-05-02 17:53:34.345025,1.282,0.32,32.6,2
2025-05-02 18:08:34.345025,0.391,0.098,36.4,2
2025-05-02 18:23:34.345025,0.379,0.095,25.5,2
2025-05-02 18:38:34.345025,0.424,0.106,26.5,2
2025-05-02 18:53:34.345025,0.43,0.108,32.7,2
2025-05-02 19:08:34.345025,0.0,0.0,33.2,2
2025-05-02 19:23:34.345025,0.0,0.0,41.5,2
2025-05-02 19:38:34.345025,0.0,0.0,33.8,2
2025-05-02 19:53:34.345025,0.0,0.0,27.2,2
2025-05-02 20:08:34.345025,0.0,0.0,29.3,2
2025-05-02 20:23:34.345025,0.0,0.0,30.5,2
2025-05-02 20:38:34.345025,0.0,0.0,27.1,2
2025-05-02 20:53:34.345025,0.0,0.0,34.8,2
2025-05-02 21:08:34.345025,0.0,0.0,31.4,2
2025-05-02 21:23:34.345025,0.0,0.0,26.3,2
2025-05-02 21:38:34.345025,0.0,0.0,29.2,2
2025-05-02 21:53:34.345025,0.0,0.0,27.3,2
2025-05-02 22:08:34.345025,0.0,0.0,32.1,2
2025-05-02 22:23:34.345025,0.0,0.0,27.5,2
2025-05-02 22:38:34.345025,0.0,0.0,44.1,2
2025-05-02 22:53:34.345025,0.0,0.0,29.4,2
2025-05-02 23:08:34.345025,0.0,0.0,41.9,2
2025-05-02 23:23:34.345025,0.0,0.0,38.6,2
2025-05-02 23:38:34.345025,0.0,0.0,30.0,2
2025-05-02 23:53:34.345025,0.0,0.0,39.5,2
2025-05-03 00:08:34.345025,0.0,0.0,32.2,2
2025-05-03 00:23:34.345025,0.0,0.0,44.2,2
2025-05-03 00:38:34.345025,0.0,0.0,43.4,2
2025-05-03 00:53:34.345025,0.0,0.0,42.0,2
2025-05-03 01:08:34.345025,0.0,0.0,31.6,2
2025-05-03 01:23:34.345025,0.0,0.0,41.0,2
2025-05-03 01:38:34.345025,0.0,0.0,33.1,2
2025-05-03 01:53:34.345025,0.0,0.0,34.1,2
2025-05-03 02:08:34.345025,0.0,0.0,28.6,2
2025-05-03 02:23:34.345025,0.0,0.0,40.4,2
2025-05-03 02:38:34.345025,0.0,0.0,27.7,2
2025-05-03 02:53:34.345025,0.0,0.0,25.2,2
2025-05-03 03:08:34.345025,0.0,0.0,28.0,2
2025-05-03 03:23:34.345025,0.0,0.0,34.6,2
2025-05-03 03:38:34.345025,0.0,0.0,29.9,2
2025-05-03 03:53:34.345025,0.0,0.0,30.3,2
2025-05-03 04:08:34.345025,0.0,0.0,40.5,2
2025-05-03 04:23:34.345025,0.0,0.0,40.5,2
2025-05-03 04:38:34.345025,0.0,0.0,37.4,2
2025-05-03 04:53:34.345025,0.0,0.0,35.7,2
2025-05-03 05:08:34.345025,0.0,0.0,29.9,2
2025-05-03 05:23:34.345025,0.0,0.0,31.4,2
2025-05-03 05:38:34.345025,0.0,0.0,39.5,2
2025-05-03 05:53:34.345025,0.0,0.0,36.2,2
2025-05-03 06:08:34.345025,0.3,0.075,43.2,2
2025-05-03 06:23:34.345025,0.379,0.095,30.5,2
2025-05-03 06:38:34.345025,0.302,0.076,36.5,2
2025-05-03 06:53:34.345025,0.331,0.083,36.3,2
2025-05-03 07:08:34.345025,0.905,0.226,30.8,2
2025-05-03 07:23:34.345025,0.94,0.235,25.9,2
2025-05-03 07:38:34.345025,1.136,0.284,32.2,2
2025-05-03 07:53:34.345025,0.883,0.221,36.3,2
2025-05-03 08:08:34.345025,1.615,0.404,34.8,2
2025-05-03 08:23:34.345025,1.346,0.336,33.6,2
2025-05-03 08:38:34.345025,1.302,0.326,40.3,2
2025-05-03 08:53:34.345025,1.63,0.408,34.7,2
2025-05-03 09:08:34.345025,2.557,0.639,39.4,2
2025-05-03 09:23:34.345025,2.338,0.584,31.1,2
2025-05-03 09:38:34.345025,2.143,0.536,30.2,2
2025-05-03 09:53:34.345025,2.069,0.517,28.6,2
2025-05-03 10:08:34.345025,2.427,0.607,38.8,2
2025-05-03 10:23:34.345025,2.597,0.649,25.8,2
2025-05-03 10:38:34.345025,2.072,0.518,35.5,2
2025-05-03 10:53:34.345025,2.094,0.524,26.0,2
2025-05-03 11:08:34.345025,2.314,0.579,36.1,2
2025-05-03 11:23:34.345025,2.398,0.599,31.7,2
2025-05-03 11:38:34.345025,2.625,0.656,31.1,2
2025-05-03 11:53:34.345025,2.474,0.619,34.9,2
2025-05-03 12:08:34.345025,3.503,0.876,40.4,2
2025-05-03 12:23:34.345025,3.073,0.768,34.2,2
2025-05-03 12:38:34.345025,3.836,0.959,40.7,2
2025-05-03 12:53:34.345025,3.828,0.957,34.1,2
2025-05-03 13:08:34.345025,2.648,0.662,32.4,2
2025-05-03 13:23:34.345025,2.6,0.65,32.7,2
2025-05-03 13:38:34.345025,3.343,0.836,35.5,2
2025-05-03 13:53:34.345025,2.336,0.584,32.1,2
2025-05-03 14:08:34.345025,2.919,0.73,33.3,2
2025-05-03 14:23:34.345025,2.39,0.598,31.6,2
2025-05-03 14:38:34.345025,2.375,0.594,45.0,2
2025-05-03 14:53:34.345025,2.413,0.603,27.4,2
2025-05-03 15:08:34.345025,1.877,0.469,28.8,2
2025-05-03 15:23:34.345025,2.535,0.634,39.2,2
2025-05-03 15:38:34.345025,2.008,0.502,41.3,2
2025-05-03 15:53:34.345025,1.794,0.449,35.0,2
2025-05-03 16:08:34.345025,1.283,0.321,36.9,2
2025-05-03 16:23:34.345025,1.867,0.467,26.5,2
2025-05-03 16:38:34.345025,1.417,0.354,30.6,2
2025-05-03 16:53:34.345025,1.839,0.46,35.1,2
2025-05-03 17:08:34.345025,0.801,0.2,26.2,2
2025-05-03 17:23:34.345025,0.989,0.247,42.3,2
2025-05-03 17:38:34.345025,0.942,0.235,40.5,2
2025-05-03 17:53:34.345025,0.9,0.225,33.7,2
2025-05-03 18:08:34.345025,0.371,0.093,30.2,2
2025-05-03 18:23:34.345025,0.37,0.092,38.7,2
2025-05-03 18:38:34.345025,0.361,0.09,42.6,2
2025-05-03 18:53:34.345025,0.263,0.066,33.0,2
2025-05-03 19:08:34.345025,0.0,0.0,25.8,2
2025-05-03 19:23:34.345025,0.0,0.0,40.1,2
2025-05-03 19:38:34.345025,0.0,0.0,35.2,2
2025-05-03 19:53:34.345025,0.0,0.0,25.8,2
2025-05-03 20:08:34.345025,0.0,0.0,44.8,2
2025-05-03 20:23:34.345025,0.0,0.0,30.6,2
2025-05-03 20:38:34.345025,0.0,0.0,40.0,2
2025-05-03 20:53:34.345025,0.0,0.0,27.5,2
2025-05-03 21:08:34.345025,0.0,0.0,41.5,2
2025-05-03 21:23:34.345025,0.0,0.0,31.5,2
2025-05-03 21:38:34.345025,0.0,0.0,42.1,2
2025-05-03 21:53:34.345025,0.0,0.0,26.8,2
2025-05-03 22:08:34.345025,0.0,0.0,28.1,2
2025-05-03 22:23:34.345025,0.0,0.0,43.8,2
2025-05-03 22:38:34.345025,0.0,0.0,27.7,2
2025-05-03 22:53:34.345025,0.0,0.0,26.1,2
2025-05-03 23:08:34.345025,0.0,0.0,25.5,2
2025-05-03 23:23:34.345025,0.0,0.0,31.7,2
2025-05-03 23:38:34.345025,0.0,0.0,30.9,2
2025-05-03 23:53:34.345025,0.0,0.0,33.6,2
2025-05-04 00:08:34.345025,0.0,0.0,25.1,2
2025-05-04 00:23:34.345025,0.0,0.0,29.0,2
2025-05-04 00:38:34.345025,0.0,0.0,33.0,2
2025-05-04 00:53:34.345025,0.0,0.0,33.1,2
2025-05-04 01:08:34.345025,0.0,0.0,35.4,2
2025-05-04 01:23:34.345025,0.0,0.0,35.5,2
2025-05-04 01:38:34.345025,0.0,0.0,25.7,2
2025-05-04 01:53:34.345025,0.0,0.0,38.9,2
2025-05-04 02:08:34.345025,0.0,0.0,25.6,2
2025-05-04 02:23:34.345025,0.0,0.0,39.9,2
2025-05-04 02:38:34.345025,0.0,0.0,25.7,2
2025-05-04 02:53:34.345025,0.0,0.0,41.4,2
2025-05-04 03:08:34.345025,0.0,0.0,32.0,2
2025-05-04 03:23:34.345025,0.0,0.0,37.1,2
2025-05-04 03:38:34.345025,0.0,0.0,36.8,2
2025-05-04 03:53:34.345025,0.0,0.0,37.8,2
2025-05-04 04:08:34.345025,0.0,0.0,43.2,2
2025-05-04 04:23:34.345025,0.0,0.0,25.7,2
2025-05-04 04:38:34.345025,0.0,0.0,25.4,2
2025-05-04 04:53:34.345025,0.0,0.0,43.4,2
2025-05-04 05:08:34.345025,0.0,0.0,44.0,2
2025-05-04 05:23:34.345025,0.0,0.0,35.2,2
2025-05-04 05:38:34.345025,0.0,0.0,33.8,2
2025-05-04 05:53:34.345025,0.0,0.0,43.2,2
2025-05-04 06:08:34.345025,0.338,0.085,31.3,2
2025-05-04 06:23:34.345025,0.335,0.084,38.5,2
2025-05-04 06:38:34.345025,0.359,0.09,42.6,2
2025-05-04 06:53:34.345025,0.283,0.071,30.8,2
2025-05-04 07:08:34.345025,1.118,0.279,40.0,2
2025-05-04 07:23:34.345025,0.924,0.231,25.6,2
2025-05-04 07:38:34.345025,0.81,0.202,36.1,2
2025-05-04 07:53:34.345025,1.035,0.259,38.9,2
2025-05-04 08:08:34.345025,1.787,0.447,29.0,2
2025-05-04 08:23:34.345025,1.423,0.356,40.5,2
2025-05-04 08:38:34.345025,1.847,0.462,40.7,2
2025-05-04 08:53:34.345025,1.388,0.347,29.7,2
2025-05-04 09:08:34.345025,2.052,0.513,33.7,2
2025-05-04 09:23:34.345025,2.32,0.58,34.3,2
2025-05-04 09:38:34.345025,2.467,0.617,41.0,2
2025-05-04 09:53:34.345025,2.127,0.532,29.4,2
2025-05-04 10:08:34.345025,2.526,0.631,40.6,2
2025-05-04 10:23:34.345025,3.069,0.767,44.4,2
2025-05-04 10:38:34.345025,2.787,0.697,37.6,2
2025-05-04 10:53:34.345025,2.905,0.726,41.7,2
2025-05-04 11:08:34.345025,3.142,0.785,42.6,2
2025-05-04 11:23:34.345025,2.389,0.597,36.2,2
2025-05-04 11:38:34.345025,2.74,0.685,42.5,2
2025-05-04 11:53:34.345025,2.331,0.583,28.7,2
2025-05-04 12:08:34.345025,2.706,0.677,26.8,2
2025-05-04 12:23:34.345025,3.13,0.782,37.2,2
2025-05-04 12:38:34.345025,3.416,0.854,26.2,2
2025-05-04 12:53:34.345025,3.19,0.798,34.4,2
2025-05-04 13:08:34.345025,2.362,0.591,29.1,2
2025-05-04 13:23:34.345025,3.384,0.846,40.0,2
2025-05-04 13:38:34.345025,2.976,0.744,42.4,2
2025-05-04 13:53:34.345025,2.317,0.579,41.0,2
2025-05-04 14:08:34.345025,2.303,0.576,39.0,2
2025-05-04 14:23:34.345025,2.646,0.662,38.3,2
2025-05-04 14:38:34.345025,2.654,0.664,42.3,2
2025-05-04 14:53:34.345025,2.769,0.692,37.7,2
2025-05-04 15:08:34.345025,2.232,0.558,43.0,2
2025-05-04 15:23:34.345025,2.522,0.63,30.2,2
2025-05-04 15:38:34.345025,1.836,0.459,33.8,2
2025-05-04 15:53:34.345025,2.35,0.588,35.8,2
2025-05-04 16:08:34.345025,1.675,0.419,32.8,2
2025-05-04 16:23:34.345025,1.829,0.457,33.2,2
2025-05-04 16:38:34.345025,1.636,0.409,39.8,2
2025-05-04 16:53:34.345025,1.83,0.458,27.8,2
2025-05-04 17:08:34.345025,0.92,0.23,31.0,2
2025-05-04 17:23:34.345025,0.863,0.216,37.3,2
2025-05-04 17:38:34.345025,0.865,0.216,44.6,2
